node_id,aliases,category,name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:721,"[""预释放报警"", ""预报警""]",探火系统,预释放报警
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:722,"[""恒温器"", ""恒温控制"", ""主恒温器"", ""后备恒温器""]",探火系统,恒温器
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:723,"[""控制面板"", ""控制板""]",探火系统,控制面板
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:724,"[""通风系统"", ""通风"", ""机械通风系统"", ""通风筒"", ""排气导管"", ""通风导管"", ""空调回风系统""]",通风,通风系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:725,"[""挡火闸"", ""防火闸"", ""自动挡火闸""]",通风,挡火闸
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:726,"[""防火门"", ""自闭式防火门"", ""自闭型防火门"", ""A级防火门"", ""B级防火门"", ""钢质门""]",防火分隔,防火门
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:727,"[""A级分隔"", ""\""A\""级分隔"", ""A-60"", ""A-0"", ""A级隔热""]",防火分隔,A级分隔
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:728,"[""B级分隔"", ""\""B\""级分隔""]",防火分隔,B级分隔
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:729,"[""钢质外套"", ""钢质套管"", ""套管""]",防火分隔,钢质外套
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:730,"[""隔热"", ""隔热包覆""]",防火分隔,隔热
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:731,"[""阻焰器"", ""火星熄灭器""]",通风,阻焰器
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:732,"[""集油器""]",通风,集油器
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:733,"[""燃油速闭阀"", ""速闭阀""]",阀件,燃油速闭阀
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:734,"[""隔离阀""]",阀件,隔离阀
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:735,"[""安全阀"", ""压力释放阀""]",阀件,安全阀
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:736,"[""释放阀"", ""气体释放阀门"", ""排放阀"", ""自动排放阀""]",阀件,释放阀
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:737,"[""关闭装置"", ""遥控关闭装置"", ""关断装置"", ""自闭式关断装置""]",阀件,关闭装置
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:738,"[""瓶头阀""]",阀件,瓶头阀
