node_id,full_name,name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,国际海上人命安全公约第II-2章,SOLAS II-2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:436,国际消防安全系统规则,FSS Code
