source_id,source_label,source_name,relationship,target_id,target_label,target_name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:820,Clause,SOLAS II-2/2.1.1.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:821,Clause,SOLAS II-2/2.1.1.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:822,Clause,SOLAS II-2/2.1.1.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:823,Clause,SOLAS II-2/2.1.1.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:824,Clause,SOLAS II-2/2.1.1.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:825,Clause,SOLAS II-2/2.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:826,Clause,SOLAS II-2/2.2.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:827,Clause,SOLAS II-2/2.2.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:828,Clause,SOLAS II-2/2.2.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:829,Clause,SOLAS II-2/2.2.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:830,Clause,SOLAS II-2/2.2.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:831,Clause,SOLAS II-2/2.2.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:832,Clause,SOLAS II-2/2.2.7
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:833,Clause,SOLAS II-2/2.2.8
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:834,Clause,SOLAS II-2/2.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:835,Clause,SOLAS II-2/2.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:836,Clause,SOLAS II-2/2.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:837,Clause,SOLAS II-2/2.3.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:838,Clause,SOLAS II-2/4.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:839,Clause,SOLAS II-2/4.1.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:840,Clause,SOLAS II-2/4.1.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:841,Clause,SOLAS II-2/4.1.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:842,Clause,SOLAS II-2/4.1.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:843,Clause,SOLAS II-2/4.1.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:844,Clause,SOLAS II-2/4.1.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:845,Clause,SOLAS II-2/4.2.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:846,Clause,SOLAS II-2/4.2.1.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:847,Clause,SOLAS II-2/4.2.1.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:848,Clause,SOLAS II-2/4.2.1.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:849,Clause,SOLAS II-2/4.2.1.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:850,Clause,SOLAS II-2/4.2.1.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:851,Clause,SOLAS II-2/4.2.1.3.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:852,Clause,SOLAS II-2/4.2.1.3.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:853,Clause,SOLAS II-2/4.2.1.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:854,Clause,SOLAS II-2/4.2.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:855,Clause,SOLAS II-2/4.2.2.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:856,Clause,SOLAS II-2/4.2.2.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:857,Clause,SOLAS II-2/4.2.2.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:858,Clause,SOLAS II-2/4.2.2.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:859,Clause,SOLAS II-2/4.2.2.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:860,Clause,SOLAS II-2/4.2.2.3.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:861,Clause,SOLAS II-2/4.2.2.3.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:862,Clause,SOLAS II-2/4.2.2.3.5
